time,open,high,low,close,tick_volume,spread,real_volume
2023-07-31 13:45:00,142.443,142.448,142.33,142.33,209,20,0
2023-07-31 13:50:00,142.33,142.344,142.279,142.294,306,18,0
2023-07-31 13:55:00,142.291,142.309,142.238,142.239,401,19,0
2023-07-31 14:00:00,142.239,142.264,142.183,142.242,542,17,0
2023-07-31 14:05:00,142.242,142.281,142.234,142.264,581,18,0
2023-07-31 14:10:00,142.263,142.264,142.203,142.203,466,21,0
2023-07-31 14:15:00,142.204,142.234,142.187,142.191,343,19,0
2023-07-31 14:20:00,142.19,142.19,142.093,142.182,569,18,0
2023-07-31 14:25:00,142.181,142.227,142.161,142.212,446,20,0
2023-07-31 14:30:00,142.21,142.212,142.149,142.161,263,21,0
2023-07-31 14:35:00,142.161,142.175,142.105,142.132,259,19,0
2023-07-31 14:40:00,142.138,142.193,142.125,142.179,237,21,0
2023-07-31 14:45:00,142.179,142.24,142.179,142.221,249,18,0
2023-07-31 14:50:00,142.221,142.248,142.11,142.113,358,18,0
2023-07-31 14:55:00,142.114,142.195,142.083,142.188,555,16,0
2023-07-31 15:00:00,142.187,142.218,142.136,142.149,414,21,0
2023-07-31 15:05:00,142.149,142.209,142.138,142.168,513,16,0
2023-07-31 15:10:00,142.167,142.217,142.158,142.211,327,15,0
2023-07-31 15:15:00,142.211,142.244,142.183,142.234,263,18,0
2023-07-31 15:20:00,142.234,142.243,142.184,142.204,698,17,0
2023-07-31 15:25:00,142.205,142.233,142.141,142.161,514,19,0
2023-07-31 15:30:00,142.16,142.16,142.065,142.119,834,15,0
2023-07-31 15:35:00,142.121,142.175,142.1,142.131,678,17,0
2023-07-31 15:40:00,142.131,142.171,142.118,142.14,592,18,0
2023-07-31 15:45:00,142.142,142.195,142.138,142.166,352,16,0
2023-07-31 15:50:00,142.164,142.186,142.1,142.165,496,17,0
2023-07-31 15:55:00,142.169,142.271,142.169,142.254,695,18,0
2023-07-31 16:00:00,142.254,142.337,142.24,142.315,537,15,0
2023-07-31 16:05:00,142.316,142.405,142.316,142.404,473,16,0
2023-07-31 16:10:00,142.404,142.433,142.376,142.43,436,15,0
2023-07-31 16:15:00,142.43,142.632,142.42,142.525,780,15,0
2023-07-31 16:20:00,142.525,142.678,142.508,142.543,686,16,0
2023-07-31 16:25:00,142.537,142.595,142.513,142.548,577,16,0
2023-07-31 16:30:00,142.547,142.548,142.335,142.376,961,15,0
2023-07-31 16:35:00,142.373,142.432,142.332,142.354,564,15,0
2023-07-31 16:40:00,142.354,142.451,142.326,142.423,551,15,0
2023-07-31 16:45:00,142.422,142.486,142.29,142.355,1066,15,0
2023-07-31 16:50:00,142.351,142.397,142.235,142.31,767,15,0
2023-07-31 16:55:00,142.311,142.347,142.241,142.324,721,15,0
2023-07-31 17:00:00,142.323,142.349,142.247,142.335,674,16,0
2023-07-31 17:05:00,142.335,142.402,142.292,142.346,819,19,0
2023-07-31 17:10:00,142.345,142.345,142.172,142.21,712,17,0
2023-07-31 17:15:00,142.211,142.238,142.144,142.16,622,15,0
2023-07-31 17:20:00,142.16,142.233,142.148,142.21,686,15,0
2023-07-31 17:25:00,142.21,142.252,142.161,142.19,705,19,0
2023-07-31 17:30:00,142.185,142.185,142.085,142.116,850,20,0
2023-07-31 17:35:00,142.116,142.176,142.052,142.154,801,17,0
2023-07-31 17:40:00,142.155,142.216,142.146,142.186,764,19,0
2023-07-31 17:45:00,142.185,142.255,142.027,142.16,1023,16,0
2023-07-31 17:50:00,142.16,142.168,141.997,142.116,1013,18,0
2023-07-31 17:55:00,142.117,142.117,142.021,142.046,1209,15,0
2023-07-31 18:00:00,142.052,142.174,142.043,142.159,950,15,0
2023-07-31 18:05:00,142.158,142.159,142.013,142.024,777,15,0
2023-07-31 18:10:00,142.023,142.097,142.008,142.04,780,16,0
2023-07-31 18:15:00,142.04,142.15,142.031,142.142,838,18,0
2023-07-31 18:20:00,142.143,142.147,142.084,142.124,695,17,0
2023-07-31 18:25:00,142.131,142.17,142.105,142.122,743,15,0
2023-07-31 18:30:00,142.121,142.167,142.098,142.137,729,17,0
2023-07-31 18:35:00,142.138,142.197,142.105,142.165,918,20,0
2023-07-31 18:40:00,142.166,142.178,142.131,142.134,533,17,0
2023-07-31 18:45:00,142.133,142.157,142.112,142.133,477,18,0
2023-07-31 18:50:00,142.13,142.177,142.122,142.157,521,20,0
2023-07-31 18:55:00,142.157,142.188,142.131,142.176,289,16,0
2023-07-31 19:00:00,142.176,142.197,142.133,142.159,499,20,0
2023-07-31 19:05:00,142.16,142.194,142.151,142.187,397,17,0
2023-07-31 19:10:00,142.186,142.199,142.112,142.112,332,19,0
2023-07-31 19:15:00,142.114,142.121,142.067,142.068,289,16,0
2023-07-31 19:20:00,142.071,142.084,142.038,142.083,281,19,0
2023-07-31 19:25:00,142.082,142.083,142.054,142.074,395,20,0
2023-07-31 19:30:00,142.075,142.117,142.064,142.083,360,18,0
2023-07-31 19:35:00,142.085,142.133,142.066,142.121,367,19,0
2023-07-31 19:40:00,142.121,142.124,142.043,142.072,275,19,0
2023-07-31 19:45:00,142.072,142.103,142.066,142.099,206,18,0
2023-07-31 19:50:00,142.1,142.113,142.079,142.095,333,17,0
2023-07-31 19:55:00,142.096,142.142,142.079,142.109,501,16,0
2023-07-31 20:00:00,142.105,142.128,142.068,142.079,323,17,0
2023-07-31 20:05:00,142.074,142.083,142.04,142.08,250,19,0
2023-07-31 20:10:00,142.077,142.119,142.077,142.098,207,15,0
2023-07-31 20:15:00,142.098,142.105,142.074,142.076,193,19,0
2023-07-31 20:20:00,142.077,142.095,142.075,142.088,272,19,0
2023-07-31 20:25:00,142.087,142.116,142.057,142.114,178,19,0
2023-07-31 20:30:00,142.123,142.128,142.098,142.123,198,18,0
2023-07-31 20:35:00,142.124,142.155,142.094,142.115,444,16,0
